customer_id,customer_name,company_name,account_type,customer_segment,industry,region,subscription_type,customer_tenure_months,monthly_contract_value,account_manager,account_created_date
ACC-00001,Charles Jones,Highland Systems,Business,Individual,Education,Waikato,Basic,14,72.03,Unassigned,2018-06-17
ACC-00002,Michael Lopez,Sterling Group,Business,Corporate,Agriculture,Wellington,Premium,21,264.87,Mike Patterson,2022-01-28
ACC-00003,Susan Davis,Unknown,Residential,Small Business,Unknown,Canterbury,Basic,43,36.31,Unassigned,2018-03-21
ACC-00004,Richard Johnson,Pioneer Tech,Business,Corporate,Professional Services,Northland,Premium,11,278.36,Rob Thompson,2022-05-01
ACC-00008,David Martinez,Southern Holdings,Business,Individual,Construction,Canterbury,Basic,6,816.33,Sarah Chen,2018-07-15
ACC-00010,Charles Davis,Unknown,Residential,Corporate,Unknown,Waikato,Basic,7,47.3,Unassigned,2021-01-25
ACC-00012,James Moore,Island Solutions,Business,Corporate,Property Management,Canterbury,Free,18,14.91,Unassigned,2019-06-17
ACC-00013,Elizabeth Johnson,Highland Tech,Business,Corporate,Retail,Manawatu-Whanganui,Enterprise,11,674.27,Lisa Hartley,2018-02-18
ACC-00018,Susan Thomas,Peak Electrical,Business,Small Business,Retail,Canterbury,Free,43,0.0,Unassigned,2020-05-16
ACC-00019,Barbara Williams,Ridge Dental,Business,Corporate,Retail,Canterbury,Premium,58,258.56,Sarah Chen,2022-06-04
ACC-00020,Mary Lopez,Unknown,Residential,Individual,Unknown,Otago,Premium,38,114.86,Unassigned,2020-05-31
ACC-00021,Jessica Martin,Northern Legal,Business,Corporate,Hospitality,Auckland,Enterprise,41,663.03,Lisa Hartley,2020-05-13
ACC-00026,Elizabeth Williams,Unknown,Residential,Individual,Unknown,Bay of Plenty,Premium,13,122.43,Sarah Chen,2023-12-19
ACC-00028,Joseph Garcia,Alpha Partners,Business,Corporate,Hospitality,Waikato,Enterprise,15,450.13,Lisa Hartley,2018-01-19
ACC-00029,Robert Gonzalez,Valley Logistics,Business,Corporate,Healthcare,Waikato,Enterprise,9,611.84,Mike Patterson,2018-07-16
ACC-00030,Sarah Lopez,Northern Dental,Business,Corporate,Retail,Wellington,Enterprise,25,801.83,Lisa Hartley,2022-07-22
ACC-00031,Karen Taylor,Peak Industries,Business,Small Business,Construction,Canterbury,Premium,39,302.33,Lisa Hartley,2019-01-16
ACC-00032,Sarah Anderson,Peak Holdings,Business,Small Business,Hospitality,Canterbury,Premium,55,307.51,Rob Thompson,2023-11-11
ACC-00033,Jennifer Davis,Island Logistics,Business,Small Business,Professional Services,Canterbury,Free,14,0.0,Unassigned,2023-07-17
